ticker,rsi_threshold,hold_days,vol_multiplier,num_trades,win_rate,avg_win,avg_loss,expected_value,sharpe,score
URGN_365,28,11,1.0,11,100.0,126.37987664311828,0.0,126.37987664311828,1.5391375805072798,90.9056940854578
AEVA_365,26,11,1.0,19,84.21052631578947,54.67531249833531,-4.831774983775852,45.27945658010723,0.9698279497017986,51.359007433454295
IOBT_365,30,11,1.0,7,100.0,79.57623317405263,0.0,79.57623317405263,4.060194112790943,50.46832835251416
ASTS_365,34,11,1.0,16,93.75,35.58241582374913,-3.0597053205792477,33.167283252228614,1.507666902344759,34.53466103379549
ARRY_365,32,11,1.0,21,90.47619047619048,29.007104846731725,-7.286887193355054,25.550534176247268,1.1391945093434364,31.37193982512181
SPRO_365,34,10,1.0,14,71.42857142857143,43.708439400136726,-13.21361408871976,27.444995546177726,0.4085410973492248,20.78123408592961
STEM_365,34,10,1.5,5,100.0,33.405673132865246,0.0,33.405673132865246,7.1599514472781225,20.310568167964234
AKRO_365,34,11,1.0,21,71.42857142857143,26.569350983409716,-1.8933055656820932,18.43716339795491,0.5050739986115081,20.299589766046676
SHLS_365,32,9,1.0,14,85.71428571428571,24.165940200536127,-5.268811557123781,19.960975663727567,1.0971600833100894,17.038736965712538
HOOD_365,34,9,1.0,12,100.0,18.9820134352249,0.0,18.9820134352249,2.3839672885526206,16.81950795318804
INTC_365,32,11,1.0,16,100.0,14.320063019575171,0.0,14.320063019575171,2.088704274451332,16.241710709963993
BEAM_365,26,11,1.0,13,76.92307692307693,25.51555864726011,-3.2513845774995604,18.877033287700183,1.2782349782138827,15.406878587327121
EDIT_365,30,11,1.0,6,83.33333333333334,47.02310651179585,-11.645095293396766,37.24507287759708,1.5456188495879108,14.627523064912493
APP_365,24,8,1.0,6,100.0,24.854016092924912,0.0,24.854016092924912,4.312940340687138,13.887838145993264
RXRX_365,32,11,1.0,14,71.42857142857143,24.72831045230308,-4.873320419098874,16.270701631902522,0.9544664622340278,13.563668605785205
BKSY_365,32,11,1.0,14,78.57142857142857,21.402750603148686,-3.713787170874164,16.020635365858077,0.9732800413039293,13.39740380718431
SANA_365,32,10,1.0,12,100.0,16.980916300579366,0.0,16.980916300579366,1.4634468544083468,13.170630005754134
NVTS_365,28,11,1.0,5,100.0,19.52309725226507,0.0,19.52309725226507,6.8309570126456824,11.548846217262456
BA_365,32,10,1.0,15,100.0,11.762941343217916,0.0,11.762941343217916,1.4299660510169032,11.345297024549154
SYM_365,34,4,1.0,7,85.71428571428571,31.68344182948164,-8.871896833076521,25.88982202054476,1.0789070548913342,11.016727521139938
LLY_365,32,11,1.0,14,92.85714285714286,14.310543942469776,-14.08697681356842,12.282149602752764,1.2929130947844365,10.820670009417006
LUNR_365,26,11,1.0,9,77.77777777777779,25.96091591933577,-5.2393171394652835,19.027530795157755,1.2248727740406706,10.659956256359814
CRNC_365,34,11,1.0,7,100.0,22.246151655080578,0.0,22.246151655080578,1.7597294827768852,10.526457705482178
KOD_365,32,11,1.0,14,35.714285714285715,75.09136355418677,-19.775241540783494,14.105688850277312,0.2847768077410297,10.436358421041946
ESTC_365,26,11,1.0,12,100.0,11.103372982570006,0.0,11.103372982570006,2.5756105418288913,10.093779529993855
CELH_365,30,11,1.0,21,61.904761904761905,20.371335258215066,-10.622185003814359,8.564279920299095,0.49590521112913,9.413694128708071
OUST_365,32,11,1.0,8,87.5,22.01252827261098,-7.352940145248341,18.34184472037856,0.9522652067676507,8.734041932563539
NXT_365,34,11,1.0,9,100.0,13.220323683497815,0.0,13.220323683497815,1.9688116854632935,8.291695155405005
WFC_365,34,11,1.0,17,88.23529411764706,8.665968171011375,-1.3318025992128155,7.489759845102647,1.4494874705202099,8.211869087293135
SOFI_365,34,10,1.0,7,100.0,16.955865003172097,0.0,16.955865003172097,1.6986236881035308,7.950667127377398
NFLX_365,34,11,1.0,17,82.35294117647058,10.30767876247229,-3.2772260347646838,7.91034262178341,0.8235182426762954,7.831224175841839
C_365,34,11,1.0,15,93.33333333333333,8.533026690188501,-1.0743764783453789,7.892533145619576,1.374361172994648,7.546478526001611
LQDA_365,30,11,1.0,17,100.0,6.881355216277748,0.0,6.881355216277748,1.4391994742559884,7.532771211440145
BLDP_365,34,9,1.0,17,88.23529411764706,8.161471465894351,-3.1029060635530588,6.836250580077009,1.2673514889583093,7.283681492829417
VRDN_365,30,9,1.0,15,73.33333333333333,11.530912039257068,-1.2277802415064734,8.128594097720123,0.9527506129742516,7.258124024673351
ORCL_365,28,9,1.0,20,60.0,16.57327166645668,-8.268285707026408,6.6366487170634425,0.4028077798126068,7.171307464086746
CRSP_365,34,11,1.0,22,72.72727272727273,11.643917835615351,-7.793928173754986,6.342687105787078,0.586712386556726,7.08695372359086
BTBT_365,30,11,1.0,16,56.25,19.69709610307323,-6.906067581196028,8.058211991205427,0.3472649831416322,6.894303169168766
CHPT_365,24,11,1.0,13,61.53846153846154,24.247305024248423,-13.760957373316675,9.628742563646462,0.4623625177104952,6.837438721404992
NU_365,34,11,1.0,14,78.57142857142857,11.606814568823507,-4.102380995738694,8.24055837641732,0.9044776758595979,6.811867015824344
SERV_365,32,11,1.0,5,80.0,30.169165937771353,-6.889954834166072,22.75734178338387,0.9633332022576736,6.785480592598944
PANW_365,30,11,1.0,16,81.25,8.501597567495311,-1.6772867260655488,6.593056762452651,1.2338627355025975,6.576033738321118
HL_365,34,11,1.0,9,100.0,11.283741486471715,0.0,11.283741486471715,1.3972365076335211,6.4966286681960215
BAC_365,34,11,1.0,18,88.88888888888889,7.725464281785065,-8.013483690786854,5.976692284832629,0.9734914272730925,6.426309622841449
CRDO_365,30,6,1.5,6,83.33333333333334,26.78769949482587,-23.661969731048394,18.379421290513495,0.8107420053512373,6.4078845196100165
UPST_365,30,11,1.0,10,70.0,18.46171695669676,-5.828196987908032,11.174742773315321,0.6883422390687155,6.356576132817742
RKLB_365,28,11,1.0,10,60.0,22.933150093678403,-6.136693887521533,11.30521250119843,0.596832431423753,6.327337997084461
AVGO_365,32,11,1.0,13,69.23076923076923,12.093519091286876,-1.4544823261204682,7.924903270546154,0.9473252700038102,6.127157072823149
INVZ_365,16,11,1.0,5,80.0,26.01794698065855,-1.5037668789816911,20.513604208730502,0.9583201165201994,6.111331030960619
SMCI_365,34,11,1.0,10,40.0,46.31787680038983,-11.955518352922661,11.353839708402337,0.2877789134821827,6.0036594197146576
